GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH)
100030149061,1,Block Group 1_ Tract 14906,New Castle,1661,779,525,272,33,4,48,1278,651,409,166,24,4,24
100030163023,1,Block Group 3_ Tract 16302,New Castle,3018,1117,1322,297,179,7,96,2116,862,894,184,126,5,45
100030163022,1,Block Group 2_ Tract 16302,New Castle,1564,785,428,249,69,2,31,1219,686,327,134,54,2,16
100030149092,1,Block Group 2_ Tract 14909,New Castle,1847,740,758,257,48,1,43,1418,614,576,164,41,1,22
100030149094,1,Block Group 4_ Tract 14909,New Castle,1209,240,677,164,98,2,28,892,209,495,102,71,1,14
100050514002,2,Block Group 2_ Tract 514,Sussex,1387,683,231,420,27,0,26,1021,561,161,270,18,0,11
100050515004,2,Block Group 4_ Tract 515,Sussex,757,561,126,46,9,2,13,578,440,97,30,5,2,4
100050515003,2,Block Group 3_ Tract 515,Sussex,978,807,67,64,0,9,31,770,657,49,44,0,7,13
100050515001,2,Block Group 1_ Tract 515,Sussex,1260,946,234,66,5,1,8,998,781,173,35,4,1,4
100050515002,2,Block Group 2_ Tract 515,Sussex,2097,1134,488,428,19,2,26,1642,949,397,271,13,2,10
100050501012,2,Block Group 2_ Tract 50101,Sussex,1677,1297,198,129,14,5,34,1266,1033,127,77,9,5,15
100050501011,2,Block Group 1_ Tract 50101,Sussex,2092,1905,49,93,15,5,25,1639,1519,40,58,7,4,11
100050501032,2,Block Group 2_ Tract 50103,Sussex,1886,1695,87,64,16,9,15,1509,1371,69,38,14,8,9
100050503011,2,Block Group 1_ Tract 50301,Sussex,1628,1279,216,80,13,7,33,1264,1021,164,53,9,7,10
100050503012,2,Block Group 2_ Tract 50301,Sussex,3018,2282,503,140,12,12,69,2302,1793,375,93,9,5,27
100050508011,2,Block Group 1_ Tract 50801,Sussex,1552,1250,125,135,11,9,22,1174,983,88,82,10,7,4
100050503021,2,Block Group 1_ Tract 50302,Sussex,2946,2428,220,210,19,2,67,2260,1953,144,120,14,2,27
100050503013,2,Block Group 3_ Tract 50301,Sussex,2271,1335,528,340,6,4,58,1722,1136,353,199,4,4,26
100050501051,2,Block Group 1_ Tract 50105,Sussex,3301,1992,666,555,17,12,59,2376,1573,457,300,14,11,21
100050504081,2,Block Group 1_ Tract 50408,Sussex,2780,1922,460,289,19,8,82,2129,1580,352,154,13,7,23
100050517012,2,Block Group 2_ Tract 51701,Sussex,2634,2331,132,81,39,7,44,2032,1828,98,49,25,6,26
100050501031,2,Block Group 1_ Tract 50103,Sussex,2559,2093,200,151,70,10,35,2069,1743,152,101,50,7,16
100050505012,2,Block Group 2_ Tract 50501,Sussex,2270,1688,256,286,1,10,29,1766,1371,207,167,1,10,10
100050504072,2,Block Group 2_ Tract 50407,Sussex,1133,287,731,95,8,0,12,837,232,534,61,5,0,5
100050503022,2,Block Group 2_ Tract 50302,Sussex,2049,1022,464,485,9,6,63,1395,782,309,267,7,6,24
100050504051,2,Block Group 1_ Tract 50405,Sussex,1837,1405,218,117,50,2,45,1421,1139,149,75,36,2,20
100050517011,2,Block Group 1_ Tract 51701,Sussex,1350,1165,105,29,17,6,28,1018,906,67,15,14,3,13
100050506011,2,Block Group 1_ Tract 50601,Sussex,2719,2191,174,274,30,7,43,2021,1701,117,159,22,5,17
100050508012,2,Block Group 2_ Tract 50801,Sussex,2017,1434,300,201,15,11,56,1563,1191,204,133,11,7,17
100050505041,2,Block Group 1_ Tract 50504,Sussex,2525,1399,828,234,33,6,25,2333,1284,810,188,25,6,20
100050505043,2,Block Group 3_ Tract 50504,Sussex,1797,1497,112,132,7,11,38,1389,1204,87,67,6,9,16
100050506023,2,Block Group 3_ Tract 50602,Sussex,1832,982,530,244,24,4,48,1333,810,341,145,19,4,14
100030148102,1,Block Group 2_ Tract 1481,New Castle,2311,1635,461,86,55,4,70,1782,1307,341,50,44,4,36
100030137001,1,Block Group 1_ Tract 137,New Castle,1025,817,45,100,38,3,22,792,660,35,62,27,1,7
100030142001,1,Block Group 1_ Tract 142,New Castle,1627,1333,97,97,65,1,34,1310,1104,75,58,55,1,17
100030143003,1,Block Group 3_ Tract 143,New Castle,3817,3114,271,213,129,6,84,3703,3022,266,203,129,6,77
100030144033,1,Block Group 3_ Tract 14403,New Castle,1658,817,323,150,313,3,52,1409,745,223,102,300,3,36
100030145022,1,Block Group 2_ Tract 14502,New Castle,3617,3053,143,173,163,3,82,3564,3029,123,168,162,3,79
100030152001,1,Block Group 1_ Tract 152,New Castle,1621,566,363,598,16,7,71,1196,473,275,388,15,3,42
100030152003,1,Block Group 3_ Tract 152,New Castle,859,590,131,102,10,2,24,666,476,96,71,10,1,12
100030152004,1,Block Group 4_ Tract 152,New Castle,937,604,112,185,12,5,19,671,458,78,117,8,1,9
100030154001,1,Block Group 1_ Tract 154,New Castle,1237,57,1026,121,1,4,28,896,47,759,71,1,4,14
100030154002,1,Block Group 2_ Tract 154,New Castle,1953,87,1646,191,0,7,22,1449,71,1262,99,0,4,13
100030148031,1,Block Group 1_ Tract 14803,New Castle,2585,1930,194,122,255,4,80,2061,1580,143,89,207,3,39
100030150003,1,Block Group 3_ Tract 15,New Castle,942,720,116,61,21,3,21,729,578,80,39,18,3,11
100030002003,1,Block Group 3_ Tract 2,New Castle,896,96,742,14,2,0,42,736,88,603,14,2,0,29
100030002001,1,Block Group 1_ Tract 2,New Castle,751,369,321,25,12,3,21,598,295,262,17,10,1,13
100030002002,1,Block Group 2_ Tract 2,New Castle,796,118,634,18,1,0,25,595,93,486,7,0,0,9
100030002004,1,Block Group 4_ Tract 2,New Castle,654,53,559,17,5,3,17,484,51,407,11,4,3,8
100030002006,1,Block Group 6_ Tract 2,New Castle,1381,193,1080,57,17,3,31,1023,168,787,38,11,3,16
100030002005,1,Block Group 5_ Tract 2,New Castle,960,64,852,26,2,1,15,713,54,627,17,2,1,12
100030003002,1,Block Group 2_ Tract 3,New Castle,827,167,597,32,15,2,14,592,140,411,21,10,2,8
100030003004,1,Block Group 4_ Tract 3,New Castle,1161,56,1013,56,0,8,28,833,55,719,32,0,6,21
100030003003,1,Block Group 3_ Tract 3,New Castle,655,18,604,18,2,1,12,467,13,436,8,2,1,7
100030003001,1,Block Group 1_ Tract 3,New Castle,551,225,288,15,10,0,13,445,196,221,10,8,0,10
100030135051,1,Block Group 1_ Tract 13505,New Castle,781,650,26,11,83,0,11,556,460,16,6,66,0,8
100030169042,1,Block Group 2_ Tract 16904,New Castle,1521,1392,65,36,9,1,18,1232,1138,51,28,5,1,9
100030136142,1,Block Group 2_ Tract 13614,New Castle,2368,1269,222,811,28,3,35,1737,1039,158,502,20,2,16
100030136141,1,Block Group 1_ Tract 13614,New Castle,764,645,41,30,43,0,5,620,539,25,22,33,0,1
100030015001,1,Block Group 1_ Tract 15,New Castle,776,539,166,40,11,0,20,681,489,146,26,10,0,10
100030105023,1,Block Group 3_ Tract 10502,New Castle,796,732,36,9,6,2,11,622,579,23,5,5,2,8
100030148093,1,Block Group 3_ Tract 14809,New Castle,1020,665,268,33,26,5,23,802,536,203,23,25,2,13
100050506022,2,Block Group 2_ Tract 50602,Sussex,1662,1097,320,106,69,5,65,1310,940,219,66,51,5,29
100050507032,2,Block Group 2_ Tract 50703,Sussex,1048,720,123,119,6,54,26,854,626,97,70,5,48,8
100050507031,2,Block Group 1_ Tract 50703,Sussex,988,709,152,28,2,63,34,857,637,126,19,2,57,16
100050513012,2,Block Group 2_ Tract 51301,Sussex,1699,1644,11,30,3,0,11,1444,1401,9,24,3,0,7
100050507061,2,Block Group 1_ Tract 50706,Sussex,579,536,7,27,4,0,5,503,473,5,18,4,0,3
100050507053,2,Block Group 3_ Tract 50705,Sussex,961,838,41,64,3,3,12,809,724,27,47,2,3,6
100050513031,2,Block Group 1_ Tract 51303,Sussex,1702,1564,31,68,19,5,15,1465,1367,24,42,18,5,9
100050507041,2,Block Group 1_ Tract 50704,Sussex,2091,1704,147,118,20,17,85,1726,1482,103,77,15,15,34
100050507062,2,Block Group 2_ Tract 50706,Sussex,873,836,15,16,0,2,4,794,767,12,10,0,2,3
100050510062,2,Block Group 2_ Tract 51006,Sussex,1461,1355,23,54,19,2,8,1255,1178,22,36,12,2,5
100050510032,2,Block Group 2_ Tract 51003,Sussex,1669,1442,66,101,21,9,30,1455,1301,44,70,18,6,16
100050511032,2,Block Group 2_ Tract 51103,Sussex,306,277,7,17,3,1,1,270,247,5,13,3,1,1
100050511021,2,Block Group 1_ Tract 51102,Sussex,299,287,2,7,0,3,0,283,273,2,5,0,3,0
100030147021,1,Block Group 1_ Tract 14702,New Castle,1927,1406,270,125,73,5,48,1495,1139,200,72,60,5,19
100030147062,1,Block Group 2_ Tract 14706,New Castle,1919,631,837,306,50,5,90,1280,479,551,180,34,3,33
100030148032,1,Block Group 2_ Tract 14803,New Castle,1342,1084,130,56,52,0,20,1126,929,101,42,40,0,14
100030141002,1,Block Group 2_ Tract 141,New Castle,1308,984,162,97,21,12,32,1019,811,109,61,17,8,13
100030141001,1,Block Group 1_ Tract 141,New Castle,1192,926,135,78,20,0,33,903,738,98,44,15,0,8
100030155021,1,Block Group 1_ Tract 15502,New Castle,2051,332,1418,247,10,4,40,1484,272,1024,156,10,3,19
100030156001,1,Block Group 1_ Tract 156,New Castle,694,375,156,138,6,2,17,516,312,111,80,4,2,7
100030159001,1,Block Group 1_ Tract 159,New Castle,1202,797,240,133,5,5,22,930,651,185,79,3,2,10
100030166012,1,Block Group 2_ Tract 16601,New Castle,1810,1645,76,55,13,1,20,1343,1214,68,41,8,1,11
100030166013,1,Block Group 3_ Tract 16601,New Castle,5743,3421,1599,433,142,8,140,4269,2789,1046,264,102,6,62
