GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
340170145002,0,"Block Group 2_ Census Tract 145_ Hudson County_ New Jersey",Hudson,4052,1542,60,2121,48,0,281
340130160006,8,"Block Group 6_ Census Tract 160_ Essex County_ New Jersey",Essex,1170,1012,0,81,77,0,0
340170142004,9,"Block Group 4_ Census Tract 142_ Hudson County_ New Jersey",Hudson,1109,200,25,843,41,0,0
340170141003,9,"Block Group 3_ Census Tract 141_ Hudson County_ New Jersey",Hudson,2012,930,27,928,105,0,22
340270434027,11,"Block Group 7_ Census Tract 434.02_ Morris County_ New Jersey",Morris,2320,2051,50,104,103,12,0
340410319001,5,"Block Group 1_ Census Tract 319_ Warren County_ New Jersey",Warren,1393,1321,17,13,42,0,0
340270434022,11,"Block Group 2_ Census Tract 434.02_ Morris County_ New Jersey",Morris,852,796,28,0,13,15,0
340130172003,1,"Block Group 3_ Census Tract 172_ Essex County_ New Jersey",Essex,946,153,684,51,19,0,39
340130153002,8,"Block Group 2_ Census Tract 153_ Essex County_ New Jersey",Essex,989,647,57,141,135,0,9
340030381003,9,"Block Group 3_ Census Tract 381_ Bergen County_ New Jersey",Bergen,1003,787,0,97,112,7,0
340130154003,8,"Block Group 3_ Census Tract 154_ Essex County_ New Jersey",Essex,1367,729,217,167,143,0,111
340030381002,9,"Block Group 2_ Census Tract 381_ Bergen County_ New Jersey",Bergen,936,874,0,32,0,0,30
340130175002,8,"Block Group 2_ Census Tract 175_ Essex County_ New Jersey",Essex,631,425,101,71,0,0,34
340130143004,8,"Block Group 4_ Census Tract 143_ Essex County_ New Jersey",Essex,894,470,15,292,102,0,15
340030383002,9,"Block Group 2_ Census Tract 383_ Bergen County_ New Jersey",Bergen,598,528,0,61,0,0,9
340170151002,0,"Block Group 2_ Census Tract 151_ Hudson County_ New Jersey",Hudson,1007,340,37,600,0,0,30
340130173022,8,"Block Group 2_ Census Tract 173.02_ Essex County_ New Jersey",Essex,872,592,33,32,189,0,26
340170145003,0,"Block Group 3_ Census Tract 145_ Hudson County_ New Jersey",Hudson,1390,438,28,883,41,0,0
340270426009,11,"Block Group 9_ Census Tract 426_ Morris County_ New Jersey",Morris,5375,4849,43,109,322,0,52
340030381001,9,"Block Group 1_ Census Tract 381_ Bergen County_ New Jersey",Bergen,711,583,0,87,41,0,0
340170142003,0,"Block Group 3_ Census Tract 142_ Hudson County_ New Jersey",Hudson,1495,425,0,922,138,0,10
340170142001,9,"Block Group 1_ Census Tract 142_ Hudson County_ New Jersey",Hudson,1882,449,18,1151,128,44,92
340130155004,8,"Block Group 4_ Census Tract 155_ Essex County_ New Jersey",Essex,1014,713,81,171,49,0,0
340170151001,0,"Block Group 1_ Census Tract 151_ Hudson County_ New Jersey",Hudson,1480,461,27,941,51,0,0
340130172002,1,"Block Group 2_ Census Tract 172_ Essex County_ New Jersey",Essex,675,32,553,82,0,0,8
340270436003,11,"Block Group 3_ Census Tract 436_ Morris County_ New Jersey",Morris,1769,1287,109,297,54,0,22
340130146004,8,"Block Group 4_ Census Tract 146_ Essex County_ New Jersey",Essex,1887,959,257,340,300,0,31
340130205002,8,"Block Group 2_ Census Tract 205_ Essex County_ New Jersey",Essex,2929,2487,58,13,340,0,31
340130208002,11,"Block Group 2_ Census Tract 208_ Essex County_ New Jersey",Essex,1775,1258,11,195,298,0,13
340130143005,8,"Block Group 5_ Census Tract 143_ Essex County_ New Jersey",Essex,964,558,30,231,123,0,22
340170142002,9,"Block Group 2_ Census Tract 142_ Hudson County_ New Jersey",Hudson,1376,426,13,873,64,0,0
340130174004,8,"Block Group 4_ Census Tract 174_ Essex County_ New Jersey",Essex,688,411,154,41,60,0,22
340030383003,9,"Block Group 3_ Census Tract 383_ Bergen County_ New Jersey",Bergen,1195,837,0,192,129,0,37
340270437003,11,"Block Group 3_ Census Tract 437_ Morris County_ New Jersey",Morris,715,551,107,39,11,0,7
340130154004,8,"Block Group 4_ Census Tract 154_ Essex County_ New Jersey",Essex,1053,590,170,207,59,0,27
340170324004,0,"Block Group 4_ Census Tract 324_ Hudson County_ New Jersey",Hudson,992,222,0,770,0,0,0
340270433021,11,"Block Group 1_ Census Tract 433.02_ Morris County_ New Jersey",Morris,1332,1059,36,109,111,0,17
340130155001,8,"Block Group 1_ Census Tract 155_ Essex County_ New Jersey",Essex,837,438,94,204,53,48,0
340130140004,8,"Block Group 4_ Census Tract 140_ Essex County_ New Jersey",Essex,679,488,0,135,45,0,11
340170150003,0,"Block Group 3_ Census Tract 150_ Hudson County_ New Jersey",Hudson,2560,589,37,1725,159,0,50
340030381006,9,"Block Group 6_ Census Tract 381_ Bergen County_ New Jersey",Bergen,863,698,7,82,76,0,0
340170196001,9,"Block Group 1_ Census Tract 196_ Hudson County_ New Jersey",Hudson,736,517,0,161,7,0,51
340130208001,11,"Block Group 1_ Census Tract 208_ Essex County_ New Jersey",Essex,1306,1082,12,5,207,0,0
340130176003,8,"Block Group 3_ Census Tract 176_ Essex County_ New Jersey",Essex,1348,601,353,178,93,0,123
340130207001,11,"Block Group 1_ Census Tract 207_ Essex County_ New Jersey",Essex,524,394,0,0,127,0,3
340130176002,8,"Block Group 2_ Census Tract 176_ Essex County_ New Jersey",Essex,1517,603,246,404,133,0,131
340270436002,11,"Block Group 2_ Census Tract 436_ Morris County_ New Jersey",Morris,1697,1093,149,239,190,0,26
340130156004,8,"Block Group 4_ Census Tract 156_ Essex County_ New Jersey",Essex,1998,960,369,411,197,0,61
340270459011,11,"Block Group 1_ Census Tract 459.01_ Morris County_ New Jersey",Morris,979,923,9,12,22,0,13
340170196002,9,"Block Group 2_ Census Tract 196_ Hudson County_ New Jersey",Hudson,929,710,7,100,112,0,0
340130207005,11,"Block Group 5_ Census Tract 207_ Essex County_ New Jersey",Essex,856,664,0,31,157,0,4
340030381005,9,"Block Group 5_ Census Tract 381_ Bergen County_ New Jersey",Bergen,1038,912,0,104,0,0,22
340130160007,8,"Block Group 7_ Census Tract 160_ Essex County_ New Jersey",Essex,1536,1238,130,38,130,0,0
340170324001,0,"Block Group 1_ Census Tract 324_ Hudson County_ New Jersey",Hudson,1375,168,0,1118,39,0,50
340130144002,8,"Block Group 2_ Census Tract 144_ Essex County_ New Jersey",Essex,760,292,29,274,135,0,30
340130146002,8,"Block Group 2_ Census Tract 146_ Essex County_ New Jersey",Essex,1021,490,35,409,87,0,0
340130176001,8,"Block Group 1_ Census Tract 176_ Essex County_ New Jersey",Essex,600,276,227,55,7,0,35
340130147001,8,"Block Group 1_ Census Tract 147_ Essex County_ New Jersey",Essex,1935,1320,60,322,221,0,12
340130146003,8,"Block Group 3_ Census Tract 146_ Essex County_ New Jersey",Essex,1020,468,28,333,157,0,34
340170196005,9,"Block Group 5_ Census Tract 196_ Hudson County_ New Jersey",Hudson,1009,670,59,110,154,0,16
340030383005,9,"Block Group 5_ Census Tract 383_ Bergen County_ New Jersey",Bergen,1027,772,30,127,46,0,52
340270458019,11,"Block Group 9_ Census Tract 458.01_ Morris County_ New Jersey",Morris,3311,3136,3,113,37,10,12
340170150002,0,"Block Group 2_ Census Tract 150_ Hudson County_ New Jersey",Hudson,3390,997,71,2073,110,0,139
340130173023,8,"Block Group 3_ Census Tract 173.02_ Essex County_ New Jersey",Essex,1650,1321,171,44,108,0,6
340130146001,8,"Block Group 1_ Census Tract 146_ Essex County_ New Jersey",Essex,628,306,75,225,22,0,0
340170145004,0,"Block Group 4_ Census Tract 145_ Hudson County_ New Jersey",Hudson,845,321,0,524,0,0,0
340170196003,9,"Block Group 3_ Census Tract 196_ Hudson County_ New Jersey",Hudson,1374,996,0,163,193,0,22
340170324002,0,"Block Group 2_ Census Tract 324_ Hudson County_ New Jersey",Hudson,1476,173,0,1266,0,0,37
340170324003,0,"Block Group 3_ Census Tract 324_ Hudson County_ New Jersey",Hudson,2083,396,20,1627,0,0,40
340270437002,11,"Block Group 2_ Census Tract 437_ Morris County_ New Jersey",Morris,942,581,97,216,27,21,0
