GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
48451451 0157,0,451 0157,,454,59,80,303,1,0,11,40,35,5
48341341 0201,0,341 0201,,2601,1983,12,550,56,0,0,1172,197,970
48393393 0004,0,393 0004,,237,230,0,5,2,0,0,159,18,141
48233233 0021,0,233 0021,,291,274,1,10,6,0,0,125,12,113
48211211 0402,0,211 0402,,191,181,6,4,0,0,0,106,10,95
48233233 0042,0,233 0042,,1925,1189,206,467,56,0,7,493,127,361
48211211 0303,0,211 0303,,152,142,0,6,4,0,0,89,13,76
48451451 0351,0,451 0351,,717,576,34,82,22,0,3,407,78,328
48451451 0147,0,451 0147,,2712,550,80,2030,43,0,9,390,214,171
48451451 0103,0,451 0103,,1896,630,81,1152,25,0,8,378,165,208
48451451 0146,0,451 0146,,888,765,17,105,1,0,0,266,47,217
48451451 0327,0,451 0327,,3277,1472,241,1474,70,0,20,815,367,443
48451451 0145,0,451 0145,,2878,920,126,1767,57,0,8,438,213,219
48451451 0401,0,451 0401,,534,316,34,160,24,0,0,138,44,93
48451451 0459,0,451 0459,,1152,663,53,419,10,0,7,354,132,219
48451451 0156,0,451 0156,,421,175,53,191,0,0,2,19,15,4
48451451 0434,0,451 0434,,2249,1431,83,689,34,0,12,620,217,394
48451451 0435,0,451 0435,,3754,2125,107,1458,56,0,8,1020,359,656
48451451 0305,0,451 0305,,1325,599,67,625,21,0,13,341,153,185
48451451 0137,0,451 0137,,2405,364,54,1938,43,0,6,514,344,167
48451451 0433,0,451 0433,,2112,1819,15,246,30,0,2,1022,269,742
48451451 0436,0,451 0436,,2685,2154,42,435,45,0,9,1124,336,773
48451451 0253,0,451 0253,,1460,691,106,589,57,0,17,387,166,214
48451451 0254,0,451 0254,,159,97,0,56,6,0,0,65,16,47
48451451 0144,0,451 0144,,3870,1460,243,2053,94,0,20,984,445,533
48451451 0402,0,451 0402,,2634,2106,74,407,39,0,8,1155,345,794
48451451 0319,0,451 0319,,2232,1982,30,167,53,0,0,1355,296,1049
48451451 0350,0,451 0350,,765,568,29,160,8,0,0,289,72,215
48451451 0352,0,451 0352,,925,702,22,186,14,0,1,304,98,205
48451451 0240,0,451 0240,,4239,2874,294,866,172,0,33,1234,419,803
48451451 0432,0,451 0432,,2676,1964,213,424,61,0,14,734,261,463
48451451 0114,0,451 0114,,2136,114,57,1943,11,0,11,453,339,110
48451451 0429,0,451 0429,,1992,1512,78,342,58,0,2,781,226,549
48451451 0228,0,451 0228,,2556,1973,83,417,73,0,10,930,258,665
48451451 0243,0,451 0243,,1729,1176,116,395,36,0,6,633,202,422
48451451 0230,0,451 0230,,2310,1849,65,350,42,0,4,1301,226,1069
48451451 0209,0,451 0209,,2984,2374,128,405,72,0,5,1271,337,917
48451451 0442,0,451 0442,,1777,1399,68,237,66,0,7,786,208,571
48451451 0421,0,451 0421,,3350,2691,101,446,104,0,8,1978,447,1520
48451451 0215,0,451 0215,,2824,2281,107,350,82,0,4,1365,287,1072
48233233 0033,0,233 0033,,1807,1352,34,379,42,0,0,705,107,592
48233233 0022,0,233 0022,,4209,3878,18,201,111,0,1,2015,265,1732
48233233 0023,0,233 0023,,752,614,20,92,24,0,2,250,28,218
