GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH)
5301919001 ,0,Barstow Voting District,,108,104,1,0,1,2,0
53073WVBY42AAA,0,,,0,0,0,0,0,0,0
53073730202,0,73Ferndale City 2 Voting District*,,1925,1441,20,320,56,20,68
53073730025,0,73Ferndale Twp 9 Voting District,,998,925,3,34,11,19,6
53073730058,0,73Ten Mile 4 Voting District,,1200,1087,0,57,30,8,18
53073730030,0,73Lawrence 1 Voting District,,1160,969,5,47,12,95,32
53073730044,0,73Mt View 3 Voting District,,1646,1280,13,62,14,214,63
5301919012 ,0,N Malo Voting District,,390,321,1,15,1,26,26
53073WVNOOKA,0,,,0,0,0,0,0,0,0
53073730206,0,73Ferndale City 6 Voting District*,,1441,1231,12,79,52,24,43
5304722    ,0,47Havillah Voting District,,123,113,0,2,2,3,3
53073MTBKERAAA,0,,,0,0,0,0,0,0,0
5305151008 ,0,Ione W Voting District,,120,113,0,3,1,0,3
5306565016 ,0,Onion Creek Voting District,,352,323,1,6,0,12,10
53073730045,0,73Mt View 4 Voting District,,863,791,4,26,3,12,27
53073730203,0,73Ferndale City 3 Voting District,,1040,902,4,53,32,24,25
53073730205,0,73Ferndale City 5 Voting District,,1165,1026,11,50,41,17,20
53073730057,0,73Ten Mile 3 Voting District*,,1824,1668,5,53,43,19,36
5305151011 ,0,Tiger Dry Canyon Voting District,,596,569,1,7,2,4,13
5304720    ,0,47Ellisforde Voting District,,779,599,0,130,9,23,18
5304749    ,0,47Whitestone Voting District,,603,466,0,116,3,6,12
53073730204,0,73Ferndale City 4 Voting District,,1892,1535,5,177,26,87,62
53073730201,0,73Ferndale City 1 Voting District*,,1295,1060,11,111,27,38,48
5304744    ,0,47Toroda Voting District,,104,98,0,5,0,1,0
53073730201A,0,,,0,0,0,0,0,0,0
53073730021,0,73Ferndale Twp 5 Voting District,,1147,1029,1,70,21,11,15
53073730020,0,73Ferndale Twp 4 Voting District,,957,869,1,38,11,20,18
53073730019,0,73Ferndale Twp 3 Voting District*,,102,79,3,15,4,1,0
53073730052,0,73Rome Voting District,,743,704,0,15,9,3,12
53073MTBKERAAAA,0,,,0,0,0,0,0,0,0
53073730004,0,73Baker 2 Voting District,,469,428,6,5,8,7,15
5304720    A,0,,,0,0,0,0,0,0,0
53073730003,0,73Baker 1 Voting District,,455,317,0,19,4,78,37
5306565016 A,0,,,0,0,0,0,0,0,0
53073MTBKERAAAAA,0,,,0,0,0,0,0,0,0
