GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Total Population 18+,White 18+ (NH),Black 18+ (NH),Hispanic 18+,Asian and Pacific Islander 18+ (NH),Native American 18+ (NH),Other 18+ (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote,Avg Dem Vote,Avg Rep Vote
410359715004,2,Block Group 4_ Tract 9715,Klamath,813,621,5,116,14,32,25,606,503,4,54,13,21,11,325,105,213,0,0
410359715005,2,Block Group 5_ Tract 9715,Klamath,1071,925,4,87,9,28,18,837,749,2,47,9,20,10,449,146,294,0,0
410359716004,2,Block Group 4_ Tract 9716,Klamath,722,451,9,199,3,39,21,498,352,6,108,3,21,8,164,78,82,0,0
410359716001,2,Block Group 1_ Tract 9716,Klamath,626,341,6,215,7,42,15,435,278,5,108,5,31,8,142,68,70,0,0
410359717001,2,Block Group 1_ Tract 9717,Klamath,737,589,5,95,10,19,19,593,492,3,63,8,16,11,308,147,152,0,0
410359717003,2,Block Group 3_ Tract 9717,Klamath,761,513,7,180,5,33,23,547,385,3,114,5,24,16,192,86,98,0,0
410470025023,5,Block Group 3_ Tract 2502,Marion,936,690,0,210,10,2,24,768,634,0,109,6,2,17,405,197,198,0,0
410470103053,5,Block Group 3_ Tract 10305,Marion,1533,629,50,816,12,12,14,1065,510,31,493,12,10,9,417,172,234,0,0
410470015011,5,Block Group 1_ Tract 1501,Marion,1437,1174,4,168,35,9,47,1036,880,2,91,28,8,27,703,309,382,0,0
410470027004,5,Block Group 4_ Tract 27,Marion,1169,1034,2,69,26,11,27,954,865,2,45,17,6,19,747,287,444,0,0
410470105014,5,Block Group 4_ Tract 10501,Marion,1306,1193,1,63,17,10,22,999,936,1,32,12,8,10,707,295,397,0,0
410470012001,5,Block Group 1_ Tract 12,Marion,1649,1340,21,187,40,23,38,1316,1123,15,107,28,13,30,854,602,231,0,0
410470013001,5,Block Group 1_ Tract 13,Marion,2068,1815,13,121,35,17,67,1630,1467,9,79,29,11,35,1201,772,411,0,0
410470104003,5,Block Group 3_ Tract 104,Marion,1025,787,1,216,9,6,6,764,613,1,134,9,4,3,431,205,220,0,0
410359717004,2,Block Group 4_ Tract 9717,Klamath,599,311,8,203,4,41,32,422,248,6,121,4,28,15,142,63,73,0,0
410359718001,2,Block Group 1_ Tract 9718,Klamath,1031,832,7,82,16,57,37,771,643,5,57,14,34,18,335,147,177,0,0
410359718002,2,Block Group 2_ Tract 9718,Klamath,649,515,10,54,13,25,32,505,426,7,28,10,17,17,239,120,112,0,0
410359719005,2,Block Group 5_ Tract 9719,Klamath,624,503,1,40,7,42,31,460,388,1,24,6,26,15,196,91,98,0,0
