GeoID2,District,Name,County,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
470452464,8,I - Community Center Voting District,Dyer,2418,1878,382,88,13,2,55,803,266,529
470452460,8,F - Dyer County Central Voting District,Dyer,2867,829,1915,55,0,5,63,850,773,77
470452516,8,C-Tatumville Voting District,Dyer,1214,1155,21,17,2,8,11,432,89,334
470452456,8,A - Bonicord Voting District,Dyer,1659,1463,119,53,1,3,20,613,153,446
470452520,8,C - Trimble Voting District,Dyer,1307,1255,19,15,1,1,16,648,183,454
470472533,8,12 Rossville Voting District,Fayette,1476,877,542,25,13,6,13,762,365,391
470472537,8,11 Piperton Voting District,Fayette,1774,1115,611,21,10,3,14,1093,414,670
470472540,8,13 Macon Voting District,Fayette,1723,1231,427,37,6,10,12,956,338,607
470472545,8,16 Moscow Voting District,Fayette,2381,1119,1175,50,5,6,26,1237,626,596
470472600,8,10 Elba Voting District,Fayette,2353,1724,558,30,13,6,22,1254,391,851
470472588,8,09 Hickory Withe Voting District,Fayette,4709,3654,717,235,33,15,55,2524,570,1937
470472593,8,08 Oakland Voting District,Fayette,8831,7260,1227,184,68,20,72,4324,1068,3207
470472553,8,14 Williston Voting District,Fayette,1769,1433,279,36,10,2,9,944,238,699
470472549,8,17 LaGrange Voting District,Fayette,840,566,248,18,1,0,7,417,193,219
470472581,8,06 Braden Voting District,Fayette,549,366,171,9,2,0,1,317,124,190
470472576,8,05 Longtown Voting District,Fayette,1210,338,855,9,0,2,6,659,491,161
470472559,8,07 Gallaway Voting District,Fayette,1685,1084,517,54,4,8,18,668,233,428
470472556,8,15 Parks Voting District,Fayette,1471,1067,380,9,1,4,10,625,250,369
470472564,8,03 Fayette Corner Voting District,Fayette,1637,1139,432,36,6,14,10,689,255,430
470472596,8,02 Warren Voting District,Fayette,921,666,237,8,1,3,6,540,170,358
470472561,8,01 Somerville City Voting District,Fayette,4288,2159,1990,78,16,6,39,1880,989,872
470472572,8,04 Garnett Voting District,Fayette,796,395,376,19,0,1,5,365,177,188
470492644,6,Banner Springs Voting District,Fentress,1322,1285,1,22,3,0,11,471,110,348
470492620,6,Pall Mall Voting District,Fentress,630,613,0,13,0,1,3,316,98,212
470492640,6,Clarkrange Voting District,Fentress,2676,2607,0,31,7,5,26,974,252,706
470492612,6,Courthouse Voting District,Fentress,1746,1682,2,42,1,3,16,514,166,339
470492608,6,Community Center Voting District,Fentress,1683,1631,5,24,2,10,11,620,152,455
470492616,6,Crossroads Voting District,Fentress,1957,1915,2,10,4,4,22,736,204,520
470492652,6,Allardt Voting District,Fentress,1311,1304,0,2,0,1,4,581,144,429
470492628,6,York Elementary Voting District,Fentress,1408,1382,0,14,4,5,3,522,133,377
470492648,6,Pine Haven Voting District,Fentress,1605,1550,10,13,10,3,19,560,184,369
470492624,6,West Fentress Voting District,Fentress,582,571,1,0,5,0,5,225,64,161
470492632,6,Grimsley Voting District,Fentress,1913,1869,5,13,1,5,20,670,192,460
470492636,6,Shirley Voting District,Fentress,542,538,0,3,1,0,0,249,75,172
470492656,6,Armathwaite Voting District,Fentress,584,575,0,2,0,5,2,301,57,241
470512724,4,5-3 Sherwood Voting District,Franklin,420,416,0,1,0,0,3,253,118,133
470512720,4,5-2 Sewanee Voting District,Franklin,3367,3033,122,89,73,13,37,2255,1593,635
470512664,4,6-1 Alto/Oak Grove Voting District,Franklin,1421,1372,21,6,2,4,16,786,324,433
470512692,4,4-2 Cowan Voting District,Franklin,3137,2737,259,55,10,14,62,1439,518,892
470512696,4,8-1 Decherd Voting District,Franklin,2609,2099,335,92,13,14,56,834,381,436
470512676,4,6-2 Capitol Hill Voting District,Franklin,1944,1823,18,64,6,1,32,966,307,644
470512716,4,3-3 Old Salem Voting District,Franklin,1314,1110,79,70,4,6,45,601,272,323
470512668,4,4-1 Belvidere Voting District,Franklin,694,637,7,35,5,0,10,427,120,303
470512688,4,1-1 FC Annex Voting District,Franklin,5763,4857,553,178,68,21,86,1000,376,607
470512704,4,3-2 Huntland Voting District,Franklin,2349,2167,53,80,6,19,24,1353,414,922
470512672,4,3-1 Broadview Voting District,Franklin,1714,1610,9,66,6,0,23,762,154,587
470512728,4,7-2 Winchester Springs & Center Grove Voting District,Franklin,2324,2243,22,25,4,10,20,1092,355,722
470512700,4,8-2 Estill Springs Voting District,Franklin,2389,2274,35,19,15,4,42,1308,399,899
470512678,4,6-3 UTSI Voting District,Franklin,1558,1425,65,18,23,1,26,604,142,452
470512730,4,7-1 North Lake Voting District,Franklin,3001,2869,41,35,17,9,30,1534,411,1100
470512684,4,2-1 Clark Memorial Voting District,Franklin,5456,4715,407,151,58,19,106,1281,414,850
470512712,4,4-3 Liberty Voting District,Franklin,1249,1126,53,40,7,2,21,637,180,438
470512708,4,5-1 Keith Springs Voting District,Franklin,343,326,7,5,1,0,4,300,135,163
470532788,8,18-37 Good Luck Voting District,Gibson,1089,1019,40,13,0,1,16,368,75,285
470532736,8,17-32 Bradford Voting District,Gibson,1356,1254,74,11,2,3,12,547,183,350
470532864,8,11-27 Skullbone Voting District,Gibson,615,606,0,7,0,0,2,313,35,267
470532812,8,17-33 Idlewood Voting District,Gibson,579,540,20,3,1,5,10,226,61,159
470532820,8,18-34 Laneview Voting District,Gibson,722,691,26,0,0,0,5,300,74,220
470532740,8,08-14 Brazil Fire Station Voting District,Gibson,768,725,27,9,0,0,7,332,93,231
470532760,8,08-15 Spring Hill Voting District,Gibson,488,448,33,5,0,0,2,245,77,159
470532872,8,07-11 Ed Jones Agri Plex Voting District,Gibson,940,742,148,41,2,3,4,480,176,300
470532764,8,08-12 Edison Comm Center Voting District,Gibson,381,309,68,3,0,0,1,193,79,109
470532748,8,11-23 Concord Voting District,Gibson,809,780,12,9,0,0,8,225,54,170
470532842,8,11-25 Union Central Voting District,Gibson,863,798,34,18,7,0,6,247,54,188
470532880,8,09-20 Court House Voting District,Gibson,1784,1470,239,40,11,0,24,699,241,440
470532756,8,19-38 Dyer Voting District,Gibson,3432,2820,509,35,3,3,62,1452,531,896
470532752,8,19-39 Currie Voting District,Gibson,407,392,3,4,5,0,3,193,41,148
470532892,8,16-17 Yorkville Voting District,Gibson,923,898,3,7,0,5,10,394,96,293
470532856,8,16-40 Rutherford Fire Station Voting District,Gibson,1594,1364,202,11,0,1,16,716,208,492
470532776,8,07-13 Fruitland Fire Station Voting District,Gibson,1032,895,111,14,1,1,10,388,123,257
470532800,8,01-5 Humboldt Airport Voting District,Gibson,606,544,54,7,0,0,1,300,66,224
470532768,8,16-19 Fairview Voting District,Gibson,216,213,0,0,0,1,2,122,50,69
470532772,8,04-8-2 Humboldt Fire Station Voting District,Gibson,1446,225,1173,39,0,3,6,564,511,51
470532804,8,05-9-1 Lane Chapel CME Church Voting District,Gibson,1446,169,1243,17,4,1,12,614,582,24
470532884,8,03-7-4 Humboldt Bailey Park Voting District,Gibson,1836,1334,407,59,5,2,29,948,374,566
470532780,8,01-4 Gibson Municipal Bldg Voting District,Gibson,1535,1338,159,20,4,1,13,617,149,457
470532844,8,11-24 Moore's Chapel Voting District,Gibson,885,787,58,28,2,1,9,543,111,426
470532828,8,01-1 Medina Civic Center Voting District,Gibson,4739,4403,168,96,21,13,38,2041,298,1719
470532868,8,01-3 South Gibson Voting District,Gibson,1239,1132,66,36,1,0,4,354,53,297
